[2016-12-17 21:54:05] 681
[2016-12-17 21:54:07] 683
[2016-12-17 21:54:08] 755
[2016-12-17 21:54:08] 743
[2016-12-17 21:54:09] 738
[2016-12-17 21:55:01] 694lux 
[2016-12-17 21:55:12] 710 lux 
[2016-12-17 21:55:12] 714 lux 
[2016-12-17 21:55:13] 743 lux 
[2016-12-17 21:55:13] 735 lux 
[2016-12-17 21:55:32] 702 lux 
[2016-12-17 21:55:44] 834 lux 
[2016-12-17 21:57:02] 707 lux 
[2016-12-17 21:57:04] 713 lux 
[2016-12-17 21:57:23] 680 lux 
[2016-12-17 22:10:22] 795 lux 
[2016-12-17 22:31:05] 683 lux 
[2016-12-17 22:35:09] 654 lux 
[2016-12-17 22:35:11] 654 lux 
[2016-12-17 22:35:12] 656 lux 
[2016-12-17 22:35:13] 680 lux 
[2016-12-17 22:35:59] 623 lux 
[2016-12-17 23:01:44] 636 lux 
[2016-12-17 23:01:46] 654 lux 
[2016-12-17 23:01:49] 645 lux 
[2016-12-17 23:01:55] 630 lux 
[2016-12-17 23:01:57] 328 lux 
[2016-12-17 23:47:11] 623 lux 
[2016-12-18 00:43:37] 814 lux 
[2016-12-18 01:23:44] 805 lux 
[2016-12-18 01:42:50] 1127 lux 
[2016-12-20 00:08:19] 762 lux 
[2016-12-20 00:08:20] 770 lux 
[2016-12-20 00:08:21] 758 lux 
[2016-12-20 00:08:21] 753 lux 
[2016-12-20 00:08:24] 1414 lux 
[2016-12-20 00:08:24] 1445 lux 
[2016-12-20 00:08:25] 990 lux 
[2016-12-20 00:08:26] 768 lux 
[2016-12-20 00:38:59] 764 lux 
[2016-12-20 00:39:01] 762 lux 
[2016-12-20 00:39:01] 732 lux 
[2016-12-20 00:39:06] 2939 lux 
[2016-12-20 00:39:07] 3311 lux 
[2016-12-20 00:39:07] 3432 lux 
[2016-12-20 00:39:08] 1162 lux 
[2016-12-20 00:39:08] 763 lux 
[2016-12-20 00:39:08] 757 lux 
[2016-12-20 00:39:09] 754 lux 
[2016-12-20 00:39:09] 749 lux 
[2016-12-20 00:39:09] 758 lux 
[2016-12-20 00:39:09] 676 lux 
[2016-12-20 00:39:09] 725 lux 
[2016-12-20 00:40:05] 652 lux 
[2016-12-20 00:40:05] 663 lux 
[2016-12-20 00:40:05] 750 lux 
[2016-12-20 00:43:08] 892 lux 
[2016-12-20 00:44:00] 881 lux 
[2016-12-20 00:44:01] 881 lux 
[2016-12-20 00:44:02] 885 lux 
[2016-12-20 00:47:46] 821 lux 
[2016-12-20 00:47:47] 801 lux 
[2016-12-20 00:47:47] 812 lux 
[2016-12-20 00:47:47] 793 lux 
[2016-12-20 00:50:11] 405 lux 
[2016-12-20 00:50:11] 771 lux 
[2016-12-20 00:50:12] 784 lux 
[2016-12-20 00:50:12] 783 lux 
[2016-12-20 00:50:12] 767 lux 
[2016-12-20 00:51:37] 812 lux 
[2016-12-20 00:52:02] 807 lux 
[2016-12-20 00:52:06] 800 lux 
[2016-12-20 00:53:07] 814 lux 
[2016-12-20 00:53:07] 770 lux 
[2016-12-20 02:52:03] 735 lux 
[2016-12-20 02:52:03] 0 lux 
[2016-12-20 02:52:03] 732 lux 
[2016-12-20 02:52:06] 738 lux 
[2016-12-20 02:52:06] 748 lux 
[2016-12-20 02:52:08] 717 lux 
[2016-12-20 02:52:15] 741 lux 
[2016-12-20 02:52:15] 0 lux 
[2016-12-20 02:52:15] 0 lux 
[2016-12-20 02:52:16] 738 lux 
[2016-12-20 02:52:22] 730 lux 
[2016-12-20 02:52:24] 742 lux 
[2016-12-20 02:52:29] 745 lux 
[2016-12-20 02:52:30] 709 lux 
[2016-12-20 02:52:35] 257 lux 
[2016-12-20 02:52:46] 804 lux 
[2016-12-20 03:02:34] 738 lux 
[2016-12-20 22:16:23] 799 lux 
[2016-12-20 22:16:25] 787 lux 
[2016-12-20 22:16:25] 793 lux 
[2016-12-20 22:16:26] 796 lux 
[2016-12-20 22:16:26] 804 lux 
[2016-12-20 22:17:43] 814 lux 
[2016-12-20 22:17:43] 812 lux 
[2016-12-20 22:17:44] 809 lux 
[2016-12-20 22:17:44] 814 lux 
[2016-12-20 22:17:45] 787 lux 
[2016-12-20 22:34:21] 1358 lux 
